,count,mean,std,min,25%,50%,75%,max
Anon,391.0,62.85421994884911,925.4238317858874,0.0,0.0,0.0,0.0,16384.0
File,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,391.0,-377.12531969309464,5629.4852087046065,-102400.0,0.0,0.0,0.0,20480.0
Shmem,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,391.0,-10.475703324808185,1191.4279511870184,-16384.0,0.0,0.0,0.0,16384.0
File_writeback,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,391.0,251.41687979539643,2937.067413668315,0.0,0.0,0.0,0.0,53248.0
Active_anon,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,391.0,-49.309462915601024,1311.4749120790634,-7720.0,0.0,0.0,0.0,14440.0
Slab_unreclaimable,391.0,2370.3529411764707,25436.2632997577,-108240.0,-11616.0,528.0,19008.0,82896.0
Slab,391.0,2321.0434782608695,25459.527272096348,-108240.0,-11616.0,760.0,19008.0,82896.0
Workingset_refault_anon,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,391.0,0.015345268542199489,0.2259335526821014,0.0,0.0,0.0,0.0,4.0
Pgmajfault,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
