,count,mean,std,min,25%,50%,75%,max
Anon,377.0,173.83554376657824,2457.245522528955,0.0,0.0,0.0,0.0,40960.0
File,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,377.0,-564.9655172413793,11054.735915962901,-200704.0,0.0,0.0,0.0,40960.0
Shmem,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,377.0,-65.18832891246684,3244.3981622455913,-40960.0,0.0,0.0,0.0,40960.0
File_writeback,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,377.0,249.88859416445624,2668.5671664019037,0.0,0.0,0.0,0.0,45056.0
Active_anon,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,377.0,24.509283819628646,2601.3559957329794,-6920.0,0.0,0.0,0.0,41040.0
Slab_unreclaimable,377.0,415.0875331564987,19777.49190516348,-78144.0,-11616.0,0.0,12144.0,61776.0
Slab,377.0,439.59681697612734,20060.19052556873,-78144.0,-11616.0,0.0,12672.0,61776.0
Workingset_refault_anon,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,377.0,0.042440318302387266,0.5999134576486707,0.0,0.0,0.0,0.0,10.0
Pgmajfault,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
