,count,mean,std,min,25%,50%,75%,max
Anon,417.0,186.62829736211032,1948.4407963768867,0.0,0.0,0.0,0.0,32768.0
File,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernel_stack,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pagetables,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percpu,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sock,417.0,-491.12709832134294,6519.804542674003,-81920.0,0.0,0.0,0.0,40960.0
Shmem,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_mapped,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_dirty,417.0,-9.822541966426858,200.58198297575083,-4096.0,0.0,0.0,0.0,0.0
File_writeback,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swapcached,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anon_thp,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
File_thp,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shmem_thp,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_anon,417.0,284.8537170263789,2190.5649254227,0.0,0.0,0.0,0.0,32768.0
Active_anon,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inactive_file,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Active_file,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unevictable,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slab_reclaimable,417.0,-146.95443645083932,1574.8304488517203,-14400.0,0.0,0.0,0.0,13120.0
Slab_unreclaimable,417.0,-1833.0359712230215,23506.515748117403,-83952.0,-15840.0,-3832.0,11088.0,87120.0
Slab,417.0,-1979.990407673861,23630.931308348972,-83952.0,-16368.0,-3960.0,11088.0,87120.0
Workingset_refault_anon,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_refault_file,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_anon,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_activate_file,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_anon,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_restore_file,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Workingset_nodereclaim,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgfault,417.0,0.05275779376498801,0.5389611814754643,0.0,0.0,0.0,0.0,8.0
Pgmajfault,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgrefill,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgscan,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgsteal,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgactivate,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pgdeactivate,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfree,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pglazyfreed,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_fault_alloc,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thp_collapse_alloc,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
